ingredient_id,name_canonical,unit_default,price_baseline_per_unit,allergen_tags,notes
I001,Printen,kg,0,,
I002,Sahne,l,5.96,,
I003,Eier,st,3.39,,10 Stk
I004,Zucker,kg,1.19,,
I005,Orangenschale,kg,55,,
I006,Aal,kg,0,,
I007,Gurken (eingelegt),kg,6.08,,
I008,Dill,kg,47.6,,
I009,Essig,l,1.99,,
I010,Lorbeerblatt,kg,398,,
I011,Forellenfilet (geräuchert),kg,28.9,,
I012,Frischkäse,kg,5.63,,
I013,Zitrone,st,0.99,,
I014,Schnittlauch,kg,25.8,,tk
I015,Meerrettich,kg,16.96,,
I016,Agnolotti ,kg,0,,
I017,Ricotta,kg,6.36,,
I018,Spinat ,kg,4.87,,tk / nochmal checken
I019,Muskatnuss,kg,59.8,,
I020,Rinderhackfleisch,kg,16.23,,eigenmarke?
I022,"Tomaten (stückig, Dose)",kg,3.78,,
I023,Zwiebel,kg,0.79,,
I024,Petersilie,kg,8.95,,
I025,Paprikapulver edelsüß,kg,44.33,,
I026,Apfel,kg,1.46,,nochmal checken
I027,Wasser,l,0.47,,kein leitungswasser
I028,Zimtstange,st,0.4,,
I029,Zitronenschale,kg,55,,
I030,Milch,l,1.19,,
I031,Mehl (Weizen),kg,1.2,,
I032,Zimt,kg,48.63,,
I033,Vanillezucker,kg,3.75,,
I034,Rosinen,kg,5.56,,
I035,Strudelteig (Yufka),kg,7.63,,
I036,Zitronensaft,l,5.78,,
I037,Semmelbrösel,kg,4.95,bio,
I038,Risottoreis,kg,4.49,,
I039,Erbsen,kg,4.45,,eigenmarke = tk
I040,Mozzarella,kg,13.95,,
I041,Tomatensauce,kg,4.58,,
I042,Paniermehl,kg,1.59,,
I044,Tofu,kg,8.23,"bio, vegan",
I045,Brokkoli,kg,3.18,,eigenmarke = tk
I046,Paprika (rot),kg,2.98,,
I047,Sojasauce,l,17.27,,
I048,Sesamöl,l,15,,
I049,Ingwer,kg,7.9,bio,checken
I050,Knoblauch,kg,6.45,,
I051,Spaghetti,kg,3.18,,
I052,Olivenöl,l,12.52,,
I053,Chiliflocken,kg,42.57,,
I054,Parmesan,kg,19.95,,
I055,Bucatini,kg,0,,
I056,Guanciale,kg,29.9,,
I057,Pecorino Romano,kg,23.95,,
I058,Penne,kg,1.58,,
I059,Tomaten (passiert),kg,2.99,,
I060,Chili (frisch),kg,10.9,,
I061,Artischockenherzen,kg,12.06,,
I062,Gemüsebrühe,l,0.18,,
I063,Weißwein,l,2.79,,
I064,Spätzle,kg,3.78,,
I065,Bergkäse,kg,11.4,,
I066,Zucchini,kg,2.39,,
I067,Aubergine,st,0.99,,
I068,Balsamico,kg,3.38,,
I069,Rosmarin,kg,59.8,,
I070,Rotkohl,kg,1.83,,
I071,Apfelessig,kg,3.19,,
I072,Nelken,st,56.86,,
I073,Mandeln (blanchiert),kg,34.95,,
I075,Weißwein-Essig,kg,3.98,,
I076,Trauben (weiß),kg,3.58,,
I077,Hähnchenbrust,kg,16.9,,
I078,Ananas (Stücke),kg,5.26,,
I079,Kokosmilch,l,5.98,,
I080,Currypaste (gelb),kg,12.64,,
I081,Frühlingszwiebeln,st,0.85,,
I082,Austernpilze,kg,13.45,,
I083,Sojasahne,l,3.95,,
I084,Senf,kg,2.75,,
I085,Ajvar,kg,8.15,,
I087,Rote Linsen,kg,3.3,,
I088,Kreuzkümmel (gemahlen),kg,53.11,,
I089,Kartoffeln,kg,0.8,,
I090,Maiskolben,st,4.98,,
I091,Hühnerbrühe,l,0.14,,
I092,Koriander,kg,39.6,,
I093,Avocado,st,0.99,,2 stk
I094,Toastbrot,kg,3.32,,
I095,Käse (gerieben),kg,17.93,,
I096,Schinkenwürfel,kg,9.56,,
I097,Kirschtomaten,kg,4.36,,
I098,Rucola,kg,6.32,,
I099,Basilikum,st,1.79,,
I100,Sojafrischkäse,kg,0,,
I101,Pinienkerne,kg,45.8,,
I102,Currypaste (rot),kg,12.64,,
I103,Austern,st,0,,
I104,Joghurt,kg,2.98,,
